Lap #1 :  0.17 ( 0.17)
Lap #2 :  0.32 ( 0.15)
Lap #3 :  0.45 ( 0.13)
Lap #4 :  0.57 ( 0.12)
Lap #5 :  0.69 ( 0.11)
Lap #6 :   0.8 ( 0.11)
Lap #7 :  0.94 ( 0.14)
Lap #8 :  1.04 (  0.1)
Lap #9 :  1.16 ( 0.12)
Lap #10:  1.29 ( 0.13)
Lap #11:   1.4 ( 0.11)
Lap #12:  1.53 ( 0.13)
Lap #13:  1.64 ( 0.11)
Lap #14:  1.78 ( 0.14)
Lap #15:   1.9 ( 0.11)
Lap #16:  2.02 ( 0.13)
